reference_date,year,state_code,sex_code,age_code_official,age_years,age_group,population_persons,unit,quality_flag,census_basis,series_break_before,source_id,input_class,denominator
2021-12-31,2021,01,F,ALT000,0.0,0-17,12362,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT001,1.0,0-17,12412,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT002,2.0,0-17,12509,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT003,3.0,0-17,12963,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT004,4.0,0-17,13116,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT005,5.0,0-17,13480,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT006,6.0,0-17,12905,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT007,7.0,0-17,13030,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT008,8.0,0-17,12514,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT009,9.0,0-17,12677,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT010,10.0,0-17,12425,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT011,11.0,0-17,12846,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT012,12.0,0-17,12618,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT013,13.0,0-17,13214,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT014,14.0,0-17,13092,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT015,15.0,0-17,12913,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT016,16.0,0-17,12971,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT017,17.0,0-17,13473,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT018,18.0,18-29,13608,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT019,19.0,18-29,13785,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT020,20.0,18-29,14188,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT021,21.0,18-29,14846,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT022,22.0,18-29,14716,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT023,23.0,18-29,14956,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT024,24.0,18-29,15318,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT025,25.0,18-29,15397,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT026,26.0,18-29,14865,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT027,27.0,18-29,15004,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT028,28.0,18-29,15532,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT029,29.0,18-29,15731,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT030,30.0,30-44,16305,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT031,31.0,30-44,17235,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT032,32.0,30-44,17038,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT033,33.0,30-44,17354,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
2021-12-31,2021,01,F,ALT034,34.0,30-44,17156,Anzahl,e,Census 2011 basis,False,DESTATIS-12411-0013,official population estimate,registered resident population at year end
