date_key,reference_date,year,age_code,age_label,population_persons,unit,source_id,input_class,geography,denominator,series_basis
2021,2021-12-31,2021,ALT000,unter 1 Jahr,791254,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT001,1-Jährige,780795,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT002,2-Jährige,789145,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT003,3-Jährige,803334,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT004,4-Jährige,810805,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT005,5-Jährige,816142,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT006,6-Jährige,789397,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT007,7-Jährige,779278,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT008,8-Jährige,752469,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT009,9-Jährige,750855,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT010,10-Jährige,734666,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT011,11-Jährige,752600,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT012,12-Jährige,741247,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT013,13-Jährige,760080,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT014,14-Jährige,754868,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT015,15-Jährige,740018,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT016,16-Jährige,750057,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT017,17-Jährige,766249,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT018,18-Jährige,772950,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT019,19-Jährige,797706,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT020,20-Jährige,831435,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
2021,2021-12-31,2021,ALT021,21-Jährige,884287,Anzahl,DESTATIS-12411-0005,official population estimate,Germany,registered resident population at year end,Census 2011 basis
